endbr64(0x202140:0.39812932:0.00000000:0.00000000)	xor(0x202144:0.39812932:0.00000000:0.12903226) ebp ebp
je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)	mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax
mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax	mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]
mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]	mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]
mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]	mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)
mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)	mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0
mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0	call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2028b0:0.49491663:0.00000000:0.00000000) qword [ rel address(0x204cb8:0.96136641:0.16216216:0.00000000) ]
mov(0x2022b7:0.41032940:0.67839196:0.00000000) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]	mov(0x2022be:0.41032940:0.67839196:0.31818182) rdi qword [ rax ]
mov(0x2022be:0.41032940:0.67839196:0.31818182) rdi qword [ rax ]	mov(0x2022c1:0.41032940:0.67839196:0.45454545) rsi address(0x200e6c:0.15290769:0.00959233:0.00000000)
mov(0x2022c1:0.41032940:0.67839196:0.45454545) rsi address(0x200e6c:0.15290769:0.00959233:0.00000000)	mov(0x2022cb:0.41032940:0.67839196:0.90909091) al 0x0
mov(0x2022cb:0.41032940:0.67839196:0.90909091) al 0x0	call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2028b0:0.49491663:0.00000000:0.00000000) qword [ rel address(0x204cb8:0.96136641:0.16216216:0.00000000) ]
mov(0x2022be:0.41032940:0.67839196:0.31818182) rdi qword [ rax ]	mov(0x2022c1:0.41032940:0.67839196:0.45454545) rsi address(0x200e6c:0.15290769:0.00959233:0.00000000)
mov(0x2022c1:0.41032940:0.67839196:0.45454545) rsi address(0x200e6c:0.15290769:0.00959233:0.00000000)	mov(0x2022cb:0.41032940:0.67839196:0.90909091) al 0x0
mov(0x2022cb:0.41032940:0.67839196:0.90909091) al 0x0	call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2028b0:0.49491663:0.00000000:0.00000000) qword [ rel address(0x204cb8:0.96136641:0.16216216:0.00000000) ]
mov(0x2022c1:0.41032940:0.67839196:0.45454545) rsi address(0x200e6c:0.15290769:0.00959233:0.00000000)	mov(0x2022cb:0.41032940:0.67839196:0.90909091) al 0x0
mov(0x2022cb:0.41032940:0.67839196:0.90909091) al 0x0	call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2022d2:0.41032940:0.81407035:0.00000000) address(0x2022d4:0.41032940:0.82412060:0.00000000)
jmp(0x2022d2:0.41032940:0.81407035:0.00000000) address(0x2022d4:0.41032940:0.82412060:0.00000000)	mov(0x2022d4:0.41032940:0.82412060:0.00000000) rdi qword [ rbp - 0x10 ]
mov(0x2022d4:0.41032940:0.82412060:0.00000000) rdi qword [ rbp - 0x10 ]	call(0x2022d8:0.41032940:0.82412060:0.17391304) address(0x2028c0:0.49572997:0.00000000:0.00000000)
call(0x2022d8:0.41032940:0.82412060:0.17391304) address(0x2028c0:0.49572997:0.00000000:0.00000000)	mov(0x2022dd:0.41032940:0.82412060:0.39130435) rdi qword [ rbp - 0x18 ]
mov(0x2022dd:0.41032940:0.82412060:0.39130435) rdi qword [ rbp - 0x18 ]	xor(0x2022e1:0.41032940:0.82412060:0.56521739) esi esi
xor(0x2022e1:0.41032940:0.82412060:0.56521739) esi esi	call(0x2022e3:0.41032940:0.82412060:0.65217391) address(0x2028d0:0.49654331:0.00000000:0.00000000)
call(0x2022e3:0.41032940:0.82412060:0.65217391) address(0x2028d0:0.49654331:0.00000000:0.00000000)	cmp(0x2022e8:0.41032940:0.82412060:0.86956522) eax 0x0
cmp(0x2022e8:0.41032940:0.82412060:0.86956522) eax 0x0	jg(0x2022eb:0.41032940:0.82412060:1.00000000) address(0x20223c:0.41032940:0.06030151:0.00000000)
jg(0x2022eb:0.41032940:0.82412060:1.00000000) address(0x20223c:0.41032940:0.06030151:0.00000000)	mov(0x20223c:0.41032940:0.06030151:0.00000000) rdi qword [ rbp - 0x18 ]
mov(0x20223c:0.41032940:0.06030151:0.00000000) rdi qword [ rbp - 0x18 ]	lea(0x202240:0.41032940:0.06030151:0.06896552) rsi [ rbp - 0x10 ]
lea(0x202240:0.41032940:0.06030151:0.06896552) rsi [ rbp - 0x10 ]	call(0x202244:0.41032940:0.06030151:0.13793103) address(0x202880:0.49247662:0.00000000:0.00000000)
call(0x202244:0.41032940:0.06030151:0.13793103) address(0x202880:0.49247662:0.00000000:0.00000000)	jmp(0x202880:0.49247662:0.00000000:0.00000000) qword [ rel address(0x204ca0:0.96136641:0.08108108:0.00000000) ]
mov(0x2022cb:0.41032940:0.67839196:0.90909091) al 0x0	call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2022d2:0.41032940:0.81407035:0.00000000) address(0x2022d4:0.41032940:0.82412060:0.00000000)
jmp(0x2022d2:0.41032940:0.81407035:0.00000000) address(0x2022d4:0.41032940:0.82412060:0.00000000)	mov(0x2022d4:0.41032940:0.82412060:0.00000000) rdi qword [ rbp - 0x10 ]
mov(0x2022d4:0.41032940:0.82412060:0.00000000) rdi qword [ rbp - 0x10 ]	call(0x2022d8:0.41032940:0.82412060:0.17391304) address(0x2028c0:0.49572997:0.00000000:0.00000000)
call(0x2022d8:0.41032940:0.82412060:0.17391304) address(0x2028c0:0.49572997:0.00000000:0.00000000)	jmp(0x2028c0:0.49572997:0.00000000:0.00000000) qword [ rel address(0x204cc0:0.96136641:0.18918919:0.00000000) ]
call(0x2022cd:0.41032940:0.67839196:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2022d2:0.41032940:0.81407035:0.00000000) address(0x2022d4:0.41032940:0.82412060:0.00000000)
jmp(0x2022d2:0.41032940:0.81407035:0.00000000) address(0x2022d4:0.41032940:0.82412060:0.00000000)	mov(0x2022d4:0.41032940:0.82412060:0.00000000) rdi qword [ rbp - 0x10 ]
mov(0x2022d4:0.41032940:0.82412060:0.00000000) rdi qword [ rbp - 0x10 ]	call(0x2022d8:0.41032940:0.82412060:0.17391304) address(0x2028c0:0.49572997:0.00000000:0.00000000)
call(0x2022d8:0.41032940:0.82412060:0.17391304) address(0x2028c0:0.49572997:0.00000000:0.00000000)	jmp(0x2028c0:0.49572997:0.00000000:0.00000000) qword [ rel address(0x204cc0:0.96136641:0.18918919:0.00000000) ]
push(0x202300:0.42090281:0.00000000:0.00000000) rbp	mov(0x202301:0.42090281:0.00000000:0.02564103) rbp rsp
mov(0x202301:0.42090281:0.00000000:0.02564103) rbp rsp	sub(0x202304:0.42090281:0.00000000:0.10256410) rsp 0x30
sub(0x202304:0.42090281:0.00000000:0.10256410) rsp 0x30	mov(0x202308:0.42090281:0.00000000:0.20512821) dword [ rbp - 0xc ] edi
mov(0x202308:0.42090281:0.00000000:0.20512821) dword [ rbp - 0xc ] edi	mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi
mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi	mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]
mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]	mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]
mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]	call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax
mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax	mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]
mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]	call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)
call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)	jmp(0x202900:0.49898333:0.00000000:0.00000000) qword [ rel address(0x204ce0:0.96136641:0.29729730:0.00000000) ]
mov(0x202301:0.42090281:0.00000000:0.02564103) rbp rsp	sub(0x202304:0.42090281:0.00000000:0.10256410) rsp 0x30
sub(0x202304:0.42090281:0.00000000:0.10256410) rsp 0x30	mov(0x202308:0.42090281:0.00000000:0.20512821) dword [ rbp - 0xc ] edi
mov(0x202308:0.42090281:0.00000000:0.20512821) dword [ rbp - 0xc ] edi	mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi
mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi	mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]
mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]	mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]
mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]	call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	jmp(0x2028e0:0.49735665:0.00000000:0.00000000) qword [ rel address(0x204cd0:0.96136641:0.24324324:0.00000000) ]
sub(0x202304:0.42090281:0.00000000:0.10256410) rsp 0x30	mov(0x202308:0.42090281:0.00000000:0.20512821) dword [ rbp - 0xc ] edi
mov(0x202308:0.42090281:0.00000000:0.20512821) dword [ rbp - 0xc ] edi	mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi
mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi	mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]
mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]	mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]
mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]	call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax
mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax	mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]
mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]	call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)
call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)	jmp(0x202900:0.49898333:0.00000000:0.00000000) qword [ rel address(0x204ce0:0.96136641:0.29729730:0.00000000) ]
mov(0x202308:0.42090281:0.00000000:0.20512821) dword [ rbp - 0xc ] edi	mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi
mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi	mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]
mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]	mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]
mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]	call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax
mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax	mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]
mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]	call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)
call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)	jmp(0x202900:0.49898333:0.00000000:0.00000000) qword [ rel address(0x204ce0:0.96136641:0.29729730:0.00000000) ]
mov(0x20230b:0.42090281:0.00000000:0.28205128) qword [ rbp - 0x28 ] rsi	mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]
mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]	mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]
mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]	call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax
mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax	mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	jmp(0x2028f0:0.49816999:0.00000000:0.00000000) qword [ rel address(0x204cd8:0.96136641:0.27027027:0.00000000) ]
mov(0x20230f:0.42090281:0.00000000:0.38461538) rdi qword [ address(0x204df0:0.97641318:0.71910112:0.00000000) ]	mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]
mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]	call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax
mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax	mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	jmp(0x2028f0:0.49816999:0.00000000:0.00000000) qword [ rel address(0x204cd8:0.96136641:0.27027027:0.00000000) ]
mov(0x202317:0.42090281:0.00000000:0.58974359) esi dword [ rbp - 0xc ]	call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax
mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax	mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]
mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]	call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)
call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)	cmp(0x202339:0.42090281:0.14617940:0.76470588) rax 0x0
cmp(0x202339:0.42090281:0.14617940:0.76470588) rax 0x0	je(0x20233d:0.42090281:0.14617940:1.00000000) address(0x202425:0.42090281:0.97342193:0.00000000)
je(0x20233d:0.42090281:0.14617940:1.00000000) address(0x202425:0.42090281:0.97342193:0.00000000)	xor(0x202425:0.42090281:0.97342193:0.00000000) eax eax
xor(0x202425:0.42090281:0.97342193:0.00000000) eax eax	add(0x202427:0.42090281:0.97342193:0.28571429) rsp 0x30
add(0x202427:0.42090281:0.97342193:0.28571429) rsp 0x30	pop(0x20242b:0.42090281:0.97342193:0.85714286) rbp
pop(0x20242b:0.42090281:0.97342193:0.85714286) rbp	retn(0x20242c:0.42090281:0.97342193:1.00000000)
call(0x20231a:0.42090281:0.00000000:0.66666667) address(0x2028e0:0.49735665:0.00000000:0.00000000)	jmp(0x2028e0:0.49735665:0.00000000:0.00000000) qword [ rel address(0x204cd0:0.96136641:0.24324324:0.00000000) ]
mov(0x20231f:0.42090281:0.00000000:0.79487179) qword [ rbp - 0x18 ] rax	mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	jmp(0x2028f0:0.49816999:0.00000000:0.00000000) qword [ rel address(0x204cd8:0.96136641:0.27027027:0.00000000) ]
mov(0x202323:0.42090281:0.00000000:0.89743590) rdi qword [ rbp - 0x18 ]	call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	jmp(0x2028f0:0.49816999:0.00000000:0.00000000) qword [ rel address(0x204cd8:0.96136641:0.27027027:0.00000000) ]
call(0x202327:0.42090281:0.00000000:1.00000000) address(0x2028f0:0.49816999:0.00000000:0.00000000)	jmp(0x2028f0:0.49816999:0.00000000:0.00000000) qword [ rel address(0x204cd8:0.96136641:0.27027027:0.00000000) ]
mov(0x20232c:0.42090281:0.14617940:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]	call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)
call(0x202334:0.42090281:0.14617940:0.47058824) address(0x202900:0.49898333:0.00000000:0.00000000)	jmp(0x202900:0.49898333:0.00000000:0.00000000) qword [ rel address(0x204ce0:0.96136641:0.29729730:0.00000000) ]
xor(0x202425:0.42090281:0.97342193:0.00000000) eax eax	add(0x202427:0.42090281:0.97342193:0.28571429) rsp 0x30
add(0x202427:0.42090281:0.97342193:0.28571429) rsp 0x30	pop(0x20242b:0.42090281:0.97342193:0.85714286) rbp
pop(0x20242b:0.42090281:0.97342193:0.85714286) rbp	retn(0x20242c:0.42090281:0.97342193:1.00000000)
add(0x202427:0.42090281:0.97342193:0.28571429) rsp 0x30	pop(0x20242b:0.42090281:0.97342193:0.85714286) rbp
pop(0x20242b:0.42090281:0.97342193:0.85714286) rbp	retn(0x20242c:0.42090281:0.97342193:1.00000000)
pop(0x20242b:0.42090281:0.97342193:0.85714286) rbp	retn(0x20242c:0.42090281:0.97342193:1.00000000)
mov(0x202343:0.42090281:0.22259136:0.00000000) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]	mov(0x20234b:0.42090281:0.22259136:0.21621622) rsi address(0x204de0:0.97641318:0.53932584:0.00000000)
mov(0x20234b:0.42090281:0.22259136:0.21621622) rsi address(0x204de0:0.97641318:0.53932584:0.00000000)	mov(0x202355:0.42090281:0.22259136:0.48648649) edx 0x1
mov(0x202355:0.42090281:0.22259136:0.48648649) edx 0x1	call(0x20235a:0.42090281:0.22259136:0.62162162) address(0x202910:0.49979667:0.00000000:0.00000000)
